id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
115459,PAR-1989-1-474-2,1989,True,Clear,1,220,220,Paraguay: Government,426,426,Government of Paraguay - Military faction (forces of Andres Rodriguez),24,24,Government of Paraguay,724,724,Military faction (forces of Andres Rodriguez),5,"""Reuters,1997-04-21,Paraguay ex-president acted in name of democracy"";""The New York Times,1989-02-07,Paraguay's Leader Denies Ties to Drug Trafficking"";""The Globe and Mail,1989-02-06,Elections promised as Stroessner flees"";""The Globe and Mail,1989-02-04,Paraguayans cheer army coup as Stroessner ordered into exile"";""St. Louis Post-Dispatch,1989-02-04,PARAGUAYANS CELEBRATE COUP""",Reuters;The New York Times;The Globe and Mail;The Globe and Mail;St. Louis Post-Dispatch,1997-04-21;1989-02-07;1989-02-06;1989-02-04;1989-02-04,Paraguay ex-president acted in name of democracy;Paraguay's Leader Denies Ties to Drug Trafficking;Elections promised as Stroessner flees;Paraguayans cheer army coup as Stroessner ordered into exile;PARAGUAYANS CELEBRATE COUP,policeman / witnessess /local radio / diplomats / New Foreign Minister,1,Asunción city,Asuncion city,Asunción department,-,-25.29389,-57.611111,POINT (-57.611111 -25.29389),93125,Paraguay,150,Americas,1,1,02/03/1989 00:00:00,02/03/1989 00:00:00,0,0,0,150,150,300,17,150.0,-,41
238993,BRA-2016-2-15142-3,2016,False,Clear,2,15142,13972,Comando Vermelho - PCC,15142,15142,Comando Vermelho - PCC,772,772,Comando Vermelho,3176,3176,PCC,3,"""Reuters News,2017-01-04,Brazil prison riot, a 'butchery foretold,' sparks fear of more killings"";""El Pais Brasil,2016-06-22,Assassinato do “rei do tráfico” na fronteira deixa em alerta autoridades brasileiras"";""El Pais Brasil,2016-10-20,Rebeliões sinalizam fim de pacto entre PCC e CV e espalham tensão em presídios""",Reuters News;El Pais Brasil;El Pais Brasil,2017-01-04;2016-06-22;2016-10-20,"Brazil prison riot, a 'butchery foretold,' sparks fear of more killings;Assassinato do “rei do tráfico” na fronteira deixa em alerta autoridades brasileiras;Rebeliões sinalizam fim de pacto entre PCC e CV e espalham tensão em presídios",Reuter News; El Pais Brasil,1,Pedro Juan Caballero town,"Pedro Juan Caballero, Paraguay.",Amambay department,Pedro Juan Caballero district,-22.54722,-55.73333,POINT (-55.73333 -22.54722),96729,Paraguay,150,Americas,1,1,06/22/2016 00:00:00,06/22/2016 00:00:00,0,0,0,1,1,1,1,-,-,11
279899,BRA-2018-3-1702-1,2018,False,Clear,3,772,1222,Comando Vermelho - Civilians,772,1702,Comando Vermelho - Civilians,772,772,Comando Vermelho,9999,1,Civilians,1,"""Veja Online,2018-11-17,Traficante Marcelo Piloto mata mulher em prisão no Paraguai, diz MP""",Veja Online,2018-11-17,"Traficante Marcelo Piloto mata mulher em prisão no Paraguai, diz MP",The Public Ministry of Paraguay,1,Asunción city,"Specialized Grouping of Asuncion, Paraguayan capital",Asunción department,-,-25.29389,-57.611111,POINT (-57.611111 -25.29389),93125,Paraguay,150,Americas,1,1,11/17/2018 00:00:00,11/17/2018 00:00:00,0,0,1,0,1,1,1,-,-,15
381745,BRA-2020-3-4446-0,2020,False,Clear,3,3176,3855,PCC - Civilians,3176,4446,PCC - Civilians,3176,3176,PCC,9999,1,Civilians,2,"""InSight Crime,2020-02-24,PCC Suspected in Journalist’s Killing on Brazil-Paraguay Border"";""Zero Hora,2020-02-14,Jornalista brasileiro é assassinado no Paraguai""",InSight Crime;Zero Hora,2020-02-24;2020-02-14,PCC Suspected in Journalist’s Killing on Brazil-Paraguay Border;Jornalista brasileiro é assassinado no Paraguai,"Insight Crime, Zero Hora",1,Pedro Juan Caballero town,town of Pedro Juan Caballero,Amambay department,Pedro Juan Caballero district,-22.54722,-55.73333,POINT (-55.73333 -22.54722),96729,Paraguay,150,Americas,1,1,02/12/2020 00:00:00,02/12/2020 00:00:00,0,0,1,0,1,1,1,-,-,15
429869,BRA-2021-3-4446-2,2021,False,Clear,3,3176,3855,PCC - Civilians,3176,4446,PCC - Civilians,3176,3176,PCC,9999,1,Civilians,1,"""AM Post,2021-10-18,Body is found next to a note related to a massacre in Paraguay""",AM Post,2021-10-18,Body is found next to a note related to a massacre in Paraguay,AM Post,1,Pedro Juan Caballero town,"San Antonio neighborhood, in Pedro Juan Caballero",Amambay department,Pedro Juan Caballero district,-22.54722,-55.73333,POINT (-55.73333 -22.54722),96729,Paraguay,150,Americas,1,1,10/10/2021 00:00:00,10/10/2021 00:00:00,0,0,4,0,4,4,4,-,-,15
