id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
272643,AFG-2018-3-973-178,2018,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,2,"""Reuters News,2018-11-09,Melbourne stabber drove car loaded with gas cylinders: police"";""Agence France Presse,2018-11-09,IS claims Melbourne stabbing: propaganda agency""",Reuters News;Agence France Presse,2018-11-09;2018-11-09,Melbourne stabber drove car loaded with gas cylinders: police;IS claims Melbourne stabbing: propaganda agency,"Amaq reported a jihadist security source 
Australian police",1,Melbourne town,-,Victoria state,Melbourne shire,-37.813611,144.963056,POINT (144.963056 -37.813611),75530,Australia,900,Asia,1,1,11/09/2018 00:00:00,11/09/2018 00:00:00,0,0,1,0,1,1,1,-,-,15
272647,IRQ-2018-1-524-251,2018,True,Clear,1,259,259,Iraq: Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,5,"""Reuters News,2018-11-09,Melbourne stabber drove car loaded with gas cylinders: police"";""Agence France Presse,2018-11-09,One dead, two hurt in Melbourne 'terror' attack"";""Reuters News,2018-11-09,UPDATE 1-Islamic State claims responsibility for Melbourne attack"";""Agence France Presse,2018-11-11,Australia terror attacker 'inspired by Islamic State'"";""Agence France Presse,2018-11-09,IS claims Melbourne stabbing: propaganda agency""",Reuters News;Agence France Presse;Reuters News;Agence France Presse;Agence France Presse,2018-11-09;2018-11-09;2018-11-09;2018-11-11;2018-11-09,"Melbourne stabber drove car loaded with gas cylinders: police;One dead, two hurt in Melbourne 'terror' attack;UPDATE 1-Islamic State claims responsibility for Melbourne attack;Australia terror attacker 'inspired by Islamic State';IS claims Melbourne stabbing: propaganda agency","Amaq reported a jihadist security source 
Australian police",1,Melbourne town,-,Victoria state,Melbourne shire,-37.813611,144.963056,POINT (144.963056 -37.813611),75530,Australia,900,Asia,1,1,11/09/2018 00:00:00,11/09/2018 00:00:00,0,1,0,0,1,1,1,645.0,-,41
