id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
108038,GUY-2008-3-1928-0,2008,True,Clear,3,1045,622,Buxton gang - Civilians,1045,1089,Buxton gang - Civilians,1045,1045,Buxton gang,9999,1,Civilians,1,"""Starbroek News website,2008-06-24,Guyana security forces deny involvement in bludgeoning deaths of miners""",Starbroek News website,2008-06-24,Guyana security forces deny involvement in bludgeoning deaths of miners,Officials,1,Lindo creek,"Lindo Creek, south-east of the country's jungle",Upper Demerara-Berbice,-,4.8,-58.24,POINT (-58.24 4.8),136324,Guyana,110,Americas,1,2,06/15/2008 00:00:00,06/17/2008 00:00:00,0,0,8,0,8,8,8,-,-,15
115000,GUY-2008-3-1928-1,2008,True,Clear,3,1045,622,Buxton gang - Civilians,1045,1089,Buxton gang - Civilians,1045,1045,Buxton gang,9999,1,Civilians,1,"""Caribbean Media Corporation news agency website,2008-01-31,Guyana security forces kill two gunmen, injure five in gun battle""",Caribbean Media Corporation news agency website,2008-01-31,"Guyana security forces kill two gunmen, injure five in gun battle",Police spokesman,1,Lusignan town,"Lusignan, East Coast community of Buxton",Demerara-Mahaica region,Foulis / Buxton coucil,6.792893,-58.044561,POINT (-58.044561 6.792893),139204,Guyana,110,Americas,1,1,01/25/2008 00:00:00,01/25/2008 00:00:00,0,0,12,0,12,12,12,-,-,15
115001,GUY-2008-3-1928-2,2008,True,Clear,3,1045,622,Buxton gang - Civilians,1045,1089,Buxton gang - Civilians,1045,1045,Buxton gang,9999,1,Civilians,1,"""Caribbean Media Corporation news agency,2008-02-18,Top Guyana security official says gunmen have declared war on state""",Caribbean Media Corporation news agency,2008-02-18,Top Guyana security official says gunmen have declared war on state,Security official,1,Bartica town,"town of Bartica, near the Brazilian border 80 miles from Georgetown",Cuyuni-Mazaruni region,Bartica council,6.404321,-58.625825,POINT (-58.625825 6.4043217),138483,Guyana,110,Americas,1,1,02/17/2008 00:00:00,02/17/2008 00:00:00,0,0,0,9,9,10,9,-,-,15
