id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
231091,IRQ-2016-1-448-619,2016,True,Clear,1,259,259,Iraq: Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,2,"""Reuters News,2016-03-15,One person killed in Brussels police raid: prosecutor"";""Reuters News,2016-03-16,UPDATE 3-Algerian named as dead Brussels gunman, manhunt goes on""",Reuters News;Reuters News,2016-03-15;2016-03-16,"One person killed in Brussels police raid: prosecutor;UPDATE 3-Algerian named as dead Brussels gunman, manhunt goes on",Belgian federal prosecutors office,1,Brussels city,Brussels city,Brussels-Capital region,-,50.833333,4.333333,POINT (4.333333 50.833333),202689,Belgium,211,Europe,1,1,03/15/2016 00:00:00,03/15/2016 00:00:00,0,1,0,0,1,1,1,645.0,-,41
231098,AFG-2016-3-1076-19,2016,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,5,"""Reuters News,2016-03-26,Brussels Airport will not reopen for passenger flights before Tuesday"";""Associated Press Newswires,2016-03-23,Islamic State claims deadly bombings in Brussels"";""Reuters News,2016-03-23,Islamist web links Belgian suicide bombers to Paris attackers"";""Reuters News,2016-03-28,REFILE-UPDATE 2-Brussels bombings victim death toll rises to 35 - officials"";""Reuters News,2016-03-29,Victim death toll from Brussels bombings revised down to 32""",Reuters News;Associated Press Newswires;Reuters News;Reuters News;Reuters News,2016-03-26;2016-03-23;2016-03-23;2016-03-28;2016-03-29,Brussels Airport will not reopen for passenger flights before Tuesday;Islamic State claims deadly bombings in Brussels;Islamist web links Belgian suicide bombers to Paris attackers;REFILE-UPDATE 2-Brussels bombings victim death toll rises to 35 - officials;Victim death toll from Brussels bombings revised down to 32,security official,1,Brussels city,Brussels city,Brussels-Capital region,-,50.833333,4.333333,POINT (4.333333 50.833333),202689,Belgium,211,Europe,1,1,03/22/2016 00:00:00,03/22/2016 00:00:00,0,0,32,0,32,32,32,-,-,15
231408,IRQ-2016-1-448-621,2016,True,Clear,1,259,259,Iraq: Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,3,"""Reuters News,2016-08-07,Belgian police arrest man with machete a day after police injured in other incident"";""Reuters News,2016-08-07,Islamic state claims responsibility for an attack in Brussels -Amaq"";""Reuters News,2016-08-07,Belgian prosecutors say machete-wielding attacker may have been inspired by terrorism""",Reuters News;Reuters News;Reuters News,2016-08-07;2016-08-07;2016-08-07,Belgian police arrest man with machete a day after police injured in other incident;Islamic state claims responsibility for an attack in Brussels -Amaq;Belgian prosecutors say machete-wielding attacker may have been inspired by terrorism,"VRT, IS",1,Charleroi town,Charleroi town,Wallonia region,Hainaut province,50.409473,4.452483,POINT (4.452483 50.409473),201969,Belgium,211,Europe,1,1,08/06/2016 00:00:00,08/06/2016 00:00:00,0,1,0,0,1,1,1,645.0,-,41
258995,IRQ-2018-1-524-80.1,2018,True,Clear,1,259,259,Iraq: Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,4,"""Agence France Presse,2018-05-30,IS claims deadly attack on Belgium police: propaganda agency"";""New York Post,2018-05-30,ISIS claims credit for Belgium terror attack"";""Xinhua News Agency,2018-06-06,Belgium arrests man suspected of radicalizing terrorist"";""BBC Monitoring European,2018-06-01,IS says Liege attacker converted to Islam in prison""",Agence France Presse;New York Post;Xinhua News Agency;BBC Monitoring European,2018-05-30;2018-05-30;2018-06-06;2018-06-01,IS claims deadly attack on Belgium police: propaganda agency;ISIS claims credit for Belgium terror attack;Belgium arrests man suspected of radicalizing terrorist;IS says Liege attacker converted to Islam in prison,"Amaq propaganda agency

investigators in Belgium",1,Liège town,-,Wallonia region,Liège province,50.633611,5.5675,POINT (5.5675 50.633611),202692,Belgium,211,Europe,1,1,05/29/2018 00:00:00,05/29/2018 00:00:00,2,1,0,0,3,3,3,645.0,-,41
262252,AFG-2018-3-973-96,2018,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,2,"""Agence France Presse,2018-05-30,IS claims deadly attack on Belgium police: propaganda agency"";""New York Post,2018-05-30,ISIS claims credit for Belgium terror attack""",Agence France Presse;New York Post,2018-05-30;2018-05-30,IS claims deadly attack on Belgium police: propaganda agency;ISIS claims credit for Belgium terror attack,"Amaq propaganda agency

investigators in Belgium",1,Liège town,-,Wallonia region,Liège province,50.633611,5.5675,POINT (5.5675 50.633611),202692,Belgium,211,Europe,1,1,05/29/2018 00:00:00,05/29/2018 00:00:00,0,0,1,0,1,1,1,-,-,15
497841,AFG-2023-3-973-382,2023,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,2,"""Reuters News,2023-10-26,Belgium charges Tunisian man in relation to Brussels Islamist attack"";""Associated Press Newswires,2023-10-19,Deadly attack in Belgium ignites fierce debate on failures of deportation policy""",Reuters News;Associated Press Newswires,2023-10-26;2023-10-19,Belgium charges Tunisian man in relation to Brussels Islamist attack;Deadly attack in Belgium ignites fierce debate on failures of deportation policy,Brussels Federal Prosecutor; IS,1,Brussels city,Brussels,Brussels-Capital region,-,50.833333,4.333333,POINT (4.333333 50.833333),202689,Belgium,211,Europe,1,1,10/16/2023 00:00:00,10/16/2023 00:00:00,0,0,2,0,2,2,2,-,-,15
