id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
12565,GAM-1996-3-420-1,1996,False,Clear,3,71,693,Government of Gambia - Civilians,71,1160,Government of Gambia - Civilians,71,71,Government of Gambia,9999,1,Civilians,-1,Reuters 1997-09-27,-,-,-,opposition candidate,6,Gambia,Gambia,-,-,13.5,-15.5,POINT (-15.5 13.5),149370,Gambia,420,Africa,1,1,09/22/1996 00:00:00,09/22/1996 00:00:00,0,0,0,0,0,3,0,420.0,-,45
293110,GAM-2004-3-1160-0,2004,False,Clear,3,71,693,Government of Gambia - Civilians,71,1160,Government of Gambia - Civilians,71,71,Government of Gambia,9999,1,Civilians,2,"""The Point Newspaper,2019-07-19,Pap Saine says Deyda was killed by Jammeh’s junglers"";""The Point Newspaper,2019-07-23,15 years on: Lt. Malick Jatta admits killing Deyda""",The Point Newspaper;The Point Newspaper,2019-07-19;2019-07-23,Pap Saine says Deyda was killed by Jammeh’s junglers;15 years on: Lt. Malick Jatta admits killing Deyda,"Gambia  Truth,Reconciliation and Reparations Commission (TRRC) 
 Malick Jatta, a military personnel and a member of thehit-squad of then-president, Yahya Jammeh",1,Banjul city,-,Banjul region,-,13.453056,-16.5775,POINT (-16.5775 13.453056),148647,Gambia,420,Africa,1,1,12/16/2004 00:00:00,12/16/2004 00:00:00,0,0,1,0,1,1,1,420,-,45
12567,GAM-2005-3-420-1,2005,True,Clear,3,71,693,Government of Gambia - Civilians,71,1160,Government of Gambia - Civilians,71,71,Government of Gambia,9999,1,Civilians,-1,"Amnesty International""Gambia - Fear Rules",-,-,-,-,6,Gambia,Gambia,-,-,13.5,-15.5,POINT (-15.5 13.5),149370,Gambia,420,Africa,1,1,12/16/2005 00:00:00,12/16/2005 00:00:00,0,0,0,0,0,1,0,420,-,45
258252,GAM-2005-3-1160-0.1,2005,True,Clear,3,71,693,Government of Gambia - Civilians,71,1160,Government of Gambia - Civilians,71,71,Government of Gambia,9999,1,Civilians,2,"""All Africa,2018-05-16,Ex-President Tied to 2005 Murders of Ghanaian and Nigerian Migrants  
CR  Human Rights Watch"";""All Africa,2021-03-05,'Jammeh Ordered Killings of West African Migrants'""",All Africa;All Africa,2018-05-16;2021-03-05,"Ex-President Tied to 2005 Murders of Ghanaian and Nigerian Migrants  
CR  Human Rights Watch;'Jammeh Ordered Killings of West African Migrants'",Human Rights Watch and TRIAL International ; witnesses; former Junglers,1,Brufut town,"Brufut, on the outskirts of Banjul",Western division,Kombo North/Saint Mary,13.385217,-16.752873,POINT (-16.752873 13.385217),148647,Gambia,420,Africa,2,2,07/22/2005 00:00:00,07/23/2005 00:00:00,0,0,8,0,8,8,8,420.0,-,45
293117,GAM-2012-3-1160-0,2012,False,Clear,3,71,693,Government of Gambia - Civilians,71,1160,Government of Gambia - Civilians,71,71,Government of Gambia,9999,1,Civilians,2,"""The Point Newspaper,2019-07-25,After participating in 48 killings, jungler seeks forgiveness"";""The Point Newspaper,2019-07-26,Jungler confesses he worked for Jammeh as killer""",The Point Newspaper;The Point Newspaper,2019-07-25;2019-07-26,"After participating in 48 killings, jungler seeks forgiveness;Jungler confesses he worked for Jammeh as killer","OmarA. Jallow, a member of the hit-squad (killers) known as junglers",1,Brikama town,-,West Coast division,Kombo Central district,13.274083,-16.642221,POINT (-16.642221 13.274083),148647,Gambia,420,Africa,2,4,08/01/2012 00:00:00,08/31/2012 00:00:00,0,0,1,0,1,9,1,420.0,-,45
